imdb_id,titleType,primaryTitle,runtimeMinutes,id,budget,original_language,popularity,revenue,release_month,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,weighted_rating,actor_present,directors_present,Variance
tt0033870,movie,The Maltese Falcon,100.0,963,375000,en,1.955844,1000000,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8083361156294515,0,0,625000
tt0034167,movie,Sergeant York,134.0,16442,1400000,en,1.012493,16361885,9,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96505439880303,0,0,14961885
tt0034248,movie,Suspicion,99.0,11462,1800000,en,0.706771,4500000,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6.953724181993873,0,0,2700000
tt0034492,movie,Bambi,70.0,3170,858000,en,5.765396,267447150,8,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17543741103915,0,0,266589150
tt0034583,movie,Casablanca,102.0,289,878000,en,3.797843,10462500,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8.424002550855366,0,0,9584500
tt0034587,movie,Cat People,73.0,25508,134000,en,0.323273,8000000,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.828312275307993,0,0,7866000
tt0034746,movie,For Me and My Gal,104.0,27017,802000,en,0.440368,4371000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,6.418420671489418,0,0,3569000
tt0034902,movie,Invisible Agent,81.0,28426,322000,en,0.304806,1040000,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.273833751826422,0,0,718000
tt0035093,movie,Mrs. Miniver,134.0,27367,1344000,en,0.77244,13500000,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6.906777211578877,0,0,12156000
tt0035703,movie,Cabin in the Sky,98.0,59964,662141,en,0.244548,1606624,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4062597982794305,0,0,944483
tt0035884,movie,Five Graves to Cairo,96.0,60216,855000,en,0.602957,1200000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6.523877673659321,0,0,345000
tt0035959,movie,A Guy Named Joe,120.0,43306,2627000,en,0.077918,5363000,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.381385756356064,0,0,2736000
tt0036628,movie,Bathing Beauty,101.0,43546,2361000,en,0.32787,6892000,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.317708542085138,0,0,4531000
tt0036775,movie,Double Indemnity,107.0,996,927262,en,1.025513,2500000,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.070456940430113,0,0,1572738
tt0036868,movie,The Best Years of Our Lives,170.0,887,2100000,en,0.639008,23650000,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7.6648625785577105,0,0,21550000
